t,rhoc,errD,Mb,q00,q20,q22,vatm
76.101,1.2783812600e-03,1.269315e-03,1.5061821360e+00,1.5061813452e+00,4.5170698993e-15,1.5887761259e-15,1.1029e-01
77.145,1.2786521403e-03,1.161186e-03,1.5061823673e+00,1.5061815763e+00,-1.9854593165e-14,4.6444590138e-15,1.1683e-01
78.189,1.2789157063e-03,1.042323e-03,1.5061826651e+00,1.5061818740e+00,2.0229380528e-15,2.2133365360e-15,1.2316e-01
79.233,1.2791667587e-03,9.187643e-04,1.5061829669e+00,1.5061821757e+00,1.6408860008e-15,-3.1271409917e-15,1.2858e-01
80.277,1.2794039114e-03,7.977298e-04,1.5061833026e+00,1.5061825111e+00,9.3047527283e-15,-5.7037210057e-16,1.3427e-01
81.321,1.2796285079e-03,6.885632e-04,1.5061836899e+00,1.5061828984e+00,2.5994768356e-14,-2.6092031086e-15,1.3977e-01
82.365,1.2798433241e-03,6.035363e-04,1.5061840686e+00,1.5061832769e+00,-2.1341875294e-14,3.5284433513e-15,1.4509e-01
83.409,1.2800514079e-03,5.564294e-04,1.5061844931e+00,1.5061837013e+00,3.5782490687e-14,-3.2500175130e-15,1.5062e-01
84.453,1.2802552445e-03,5.560697e-04,1.5061849583e+00,1.5061841664e+00,-4.1326169632e-15,1.2484672318e-15,1.5595e-01
85.497,1.2804563409e-03,5.988134e-04,1.5061853940e+00,1.5061846019e+00,-3.7538375371e-14,-2.6520911896e-15,1.6109e-01
86.541,1.2806550236e-03,6.709019e-04,1.5061857878e+00,1.5061849956e+00,8.1492016529e-15,-2.6612279509e-15,1.6603e-01
87.585,1.2808501827e-03,7.574466e-04,1.5061861454e+00,1.5061853530e+00,-4.2927054234e-14,5.0017293749e-15,1.7079e-01
88.629,1.2810389190e-03,8.470641e-04,1.5061864846e+00,1.5061856922e+00,4.9562028986e-14,2.2846407849e-16,1.7537e-01
89.673,1.2812164158e-03,9.319782e-04,1.5061867811e+00,1.5061859886e+00,-1.4071271952e-16,5.3343880317e-16,1.7977e-01
90.717,1.2813764026e-03,1.006891e-03,1.5061870514e+00,1.5061862588e+00,-6.4991539036e-14,1.8967345143e-15,1.8401e-01
91.761,1.2815122982e-03,1.068094e-03,1.5061873007e+00,1.5061865079e+00,3.3099172046e-14,4.3295745237e-16,1.8810e-01
92.805,1.2816185474e-03,1.112942e-03,1.5061875321e+00,1.5061867393e+00,2.9879219511e-14,9.3677410378e-16,1.9203e-01
93.849,1.2816914526e-03,1.139620e-03,1.5061877586e+00,1.5061869658e+00,-6.7731684464e-17,-9.1768311872e-18,1.9581e-01
94.893,1.2817290775e-03,1.147080e-03,1.5061879701e+00,1.5061871772e+00,-5.2874845003e-14,-1.1053803263e-15,1.9946e-01
95.937,1.2817303768e-03,1.134894e-03,1.5061881852e+00,1.5061873923e+00,6.9876762248e-14,-4.6443773510e-14,2.0297e-01
96.981,1.2816941860e-03,1.103413e-03,1.5061883973e+00,1.5061876045e+00,1.0074379418e-13,-4.3799724851e-14,2.0432e-01
98.025,1.2816187160e-03,1.054167e-03,1.5061886156e+00,1.5061878228e+00,8.2402506418e-14,-5.3176774980e-14,2.0778e-01
